#Ex_Energy(eV),TDM(Debye)
3.56423578,2.2241
3.46754441,2.1790
3.46105984,2.1113
3.49210326,2.1040
3.47318247,2.1801
3.45839023,2.0948
3.46647759,2.2062
3.42210527,1.8302
3.48083850,2.0892
3.49721623,2.0877
3.40355092,2.0750
3.46683289,2.1142
3.48964478,2.0811
3.57237916,2.2698
3.39171232,1.9352
3.52353823,2.2624
3.44366353,1.7918
3.55981871,2.3389
3.50190208,2.0954
3.40611384,1.9109
3.46689579,1.9869
3.40236127,2.0366
3.50239918,2.2682
3.56654673,2.1918
3.50193707,2.1563
3.35920327,1.8883
3.45735378,2.1604
3.44374954,2.0784
3.48834197,2.0415
3.44282891,2.0989
3.47767595,2.0714
3.47258947,2.1884
3.49351053,2.1129
3.60223331,2.3657
3.52981023,2.1492
3.55491361,2.1813
3.53533311,2.2240
3.52352410,2.1996
3.49246662,2.1062
3.59348198,2.4012
3.47096415,2.1813
3.45409476,2.2433
3.52974745,2.1440
3.51786935,2.0968
3.50833046,2.2570
3.53913205,2.1893
3.59367943,2.4651
3.54140081,2.5144
3.63153034,2.4440
3.55816577,2.3512
3.54360055,2.4582
3.55033668,2.3526
3.49391890,2.1753
3.48168470,2.2557
3.55724430,2.2913
3.51212849,2.3189
3.44463002,2.2151
3.56775616,2.4676
3.52368052,2.3837
3.61803521,2.4346
3.56062879,2.3371
3.47827382,2.1221
3.57206978,2.1023
3.51931794,2.3329
3.54069739,2.4027
3.57675093,2.4104
3.62707293,2.4814
3.51181218,2.2731
3.55373253,2.2951
3.54219887,2.4367
3.57472653,2.5149
3.51150011,2.3018
3.51849363,2.2806
3.49267918,2.3922
3.54637479,2.4660
3.50164505,2.2640
3.51132776,2.2586
3.53271202,2.2368
3.63266868,2.3770
3.44585835,2.2283
3.42049508,2.1216
3.52856754,2.3812
3.47861652,2.2915
3.39458582,2.3493
3.45755280,2.3123
3.52543584,2.2196
3.54566873,2.2987
3.54827987,2.2203
3.43633187,2.2194
3.43155241,2.1644
3.54770108,2.2493
3.42818657,2.2043
3.45314265,2.1544
3.52469560,2.0920
3.47037375,2.0097
3.57616484,2.1686
3.55071742,2.2298
3.48902085,2.1758
3.54619877,2.2812
3.51330780,2.1621
